Record	Reads	Patterns	PairsAndWidows
0-R1	434846	NA	NA
0-R2	435590	NA	NA
1-initial	870436	NA	NA
2-failQC	13159	NA	NA
2-passQC	857277	204089	NA
3-chimeric	308	292	NA
3-nomatch	180014	69469	NA
3-unrecognizable	109	109	NA
3-match	676394	134036	342550
3-altmatch	452	183	NA
4-A_HA_H5	57473	13708	29208
4-A_MP	212108	36587	107396
4-A_NA_N3	111027	22849	56186
4-A_NP	56931	14007	28952
4-A_NS	211284	34977	106824
4-A_PA	7839	3673	3979
4-A_PB1	7020	3550	3562
4-A_PB2	12712	4685	6443
5-A_HA_H1	2	2	NA
5-A_HA_H2	417	148	NA
5-A_HA_H3	6	6	NA
5-A_HA_H6	7	7	NA
5-A_NA_N2	17	17	NA
5-A_NA_N7	3	3	NA
